cddaId,cddaCountryCode,cddaRegionCode,siteName,legalFoundationDate,FDsource
555640358,FR,FR,Plaine Et Marais De Sainte-Soline,1993,http://www.cren-poitou-charentes.org/decouverte-des-oiseaux-des-plaine-et-marais-de-sainte-soline-79-communique-de-presse
555546966,FR,FR,Marais Et Coteaux De Hanc,2016,http://www.cren-poitou-charentes.org/marais-et-coteaux-de-hanc-deux-sevres
555546980,FR,FR,Marais De La Garette,1995,http://www.cren-poitou-charentes.org/publications/lettres-dinformations/marais-de-la-garette-deux-sevres-la-lettre
555546941,FR,FR,Vallee Des Eaux Claires,1998,http://www.cren-poitou-charentes.org/publications/lettres-dinformations/vallee-des-eaux-claires-charente-la-lettre
555546943,FR,FR,Brandes De Soyaux,,http://www.cren-poitou-charentes.org/sites-conservatoire/fiches-sites/brandes-de-soyaux-charente
555640375,FR,FR,Landes De Sainte-Marie,1997,http://www.cren-poitou-charentes.org/sites-conservatoire/fiches-sites/landes-de-sainte-marie-vienne
555640391,FR,FR,Meulieres De Claix - Chaumes Du Vignac,,http://www.cren-poitou-charentes.org/sites-conservatoire/fiches-sites/les-meulieres-de-claix-charente
555546952,FR,FR,Marais De Broue,,http://www.cren-poitou-charentes.org/sites-conservatoire/fiches-sites/marais-de-brouage-et-tour-de-broue-charente-maritime
555546939,FR,FR,Marais De Saint-Fraigne,1998,http://www.cren-poitou-charentes.org/sites-conservatoire/fiches-sites/marais-de-saint-fraigne-charente
555640382,FR,FR,Terrain Militaire De Montmorillon,1995,http://www.cren-poitou-charentes.org/sites-conservatoire/fiches-sites/terrain-militaire-de-montmorillon-vienne-fiche-site
555546935,FR,FR,Carrieres De Touverac,1996,http://www.cren-poitou-charentes.org/sites-conservatoire/se-promener-sur-les-sites/carrieres-de-touverac-fiche-balade
555546968,FR,FR,Landes De La Borderie,2002,http://www.cren-poitou-charentes.org/sites-conservatoire/se-promener-sur-les-sites/landes-de-la-borderie-charente-fiche-balade CREN has been working on the site since 2002
555640383,FR,FR,Val De Clouere,2004,http://www.cren-poitou-charentes.org/sites-conservatoire/se-promener-sur-les-sites/val-de-clouere-fiche-balade
555546990,FR,FR,Vallees Seches De Buxerolles,2004,http://www.cren-poitou-charentes.org/sites-conservatoire/se-promener-sur-les-sites/vallee-des-buis-vienne-fiche-balade
555546963,FR,FR,Marais De La Greve-Sur-Mignon,1993,http://www.cren-poitou-charentes.org/stage-elaboration-de-document-de-gestion-deux-sevres-et-charente-maritime
555546994,FR,FR,Tourbiere Des Regeasses,2000,http://www.cren-poitou-charentes.org/travaux-tourbiere-des-regeasses-vienne-2018
555546974,FR,FR,Vallees De La Sevre Niortaise Amont,2012,http://www.cren-poitou-charentes.org/vallee-de-la-sevre-niortaise-amont-travaux-de-gestion-deux-sevres-2015
